source_key,domain,supports,source_type,url,notes
NGDR_USER_DOWNLOADS,geology,lithology; from/to intervals; thickness; Mn and major oxides; specific gravity; area/volume/tonnage resource-calculation fields,OFFICIAL_NGDR_USER_DOWNLOADED_FILES,,Mandri Panchala and Hivra exploration workbooks supplied by the team.
IBM_MOIL_BOREHOLE_GRADES,geology,mine-specific Mn grade bounds and exploration context,OFFICIAL_IBM,https://ibm.gov.in/writereaddata/files/11162017145236MOIL.pdf,Used as bounds only; synthetic rows are not claimed to reproduce the empirical grade distribution.
SENTINEL_2,satellite,B4/B8/B11/B12 surface-reflectance fields,OFFICIAL_COPERNICUS,https://dataspace.copernicus.eu/data-collections/copernicus-sentinel-missions/sentinel-2,Synthetic placeholders in V2; replace with real sampled pixels.
ASTER_AST07XT,satellite,ASTER SWIR surface-reflectance fields,OFFICIAL_NASA,https://data.nasa.gov/dataset/aster-l2-surface-reflectance-vnir-and-crosstalk-corrected-swir-v004,Synthetic placeholders in V2; replace with suitable real pre-2008 SWIR observations.
IMD_DAILY_RAIN,weather,daily rainfall_mm,OFFICIAL_IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_NetCDF.html,Rainfall is synthetic-but-seasonal in V2 and should be swapped for real IMD extraction.
PRODUCTION_BALAGHAT,production,annual reference/plan and actual ROM calibration,OFFICIAL_SAME_PERIOD,https://ibm.gov.in/writereaddata/files/170644456565b647150fd56mcdr_balaghat_182.3_Hect.pdf,"IBM MCDR 2022-23: proposed ROM 349,755 t; actual ROM 328,975 t."
PRODUCTION_UKWA,production,annual reference/plan and actual ROM calibration,OFFICIAL_SAME_PERIOD,https://ibm.gov.in/writereaddata/files/1730980127672ca91f29bd1mcdr_Ukwa_199.067_hect..pdf,"IBM MCDR FY2023-24: proposed ROM 113,470 t; actual ROM 113,946 t."
PRODUCTION_TIRODI,production,annual reference/plan and actual ROM calibration,OFFICIAL_SAME_PERIOD,https://ibm.gov.in/writereaddata/files/173875372767a346bf92303mcdr_Tirodi_254.593_hect..pdf,"IBM MCDR FY2022-23: proposed ROM 109,000 t; actual ROM 108,831 t."
PRODUCTION_GUMGAON,production,annual reference/plan and actual ROM calibration,OFFICIAL_SAME_PERIOD,https://ibm.gov.in/writereaddata/files/05202022152703Gumgaon_35_MCDR_MKK.pdf,"IBM MCDR FY2020-21: proposed ROM 53,000 t; actual ROM 38,939.590 t."
PRODUCTION_KANDRI,production,annual reference/plan and actual ROM calibration,OFFICIAL_SAME_PERIOD,,"IBM MCDR FY2020-21: underground ROM proposal 63,000 t; actual 52,716 t."
PRODUCTION_CHIKLA,production,annual reference/plan and actual ROM calibration,OFFICIAL_SAME_PERIOD,https://ibm.gov.in/writereaddata/files/17180860926667e9cccd878mcdr_rep_Chikla_28.6.2023_OPG.pdf,"IBM MCDR FY2022-23: proposed ROM 200,000 t; actual ROM 179,991 t."
PRODUCTION_DONGRI_BUZURG,production,annual reference/plan and actual ROM calibration,PROXY_NOT_SAME_PERIOD_PLAN,https://idbicapital.com/pdf/MOILDRHP.pdf,"MOIL RHP material reports FY2010 production 282,758 t and a then-current ROM capacity basis of ~350,000 t; use only as a demo proxy until an official same-period MCDR pair is supplied."
ECON_BALAGHAT,economics,ex-mine price by grade band; production cost,OFFICIAL_IBM_ANNUAL_RETURN_SCRUTINY,https://ibm.gov.in/writereaddata/files/170644456565b647150fd56mcdr_balaghat_182.3_Hect.pdf,IBM MCDR Annual Return 2022-23: grade-wise ex-mine prices and production cost. No 35-<46 price reported because production/dispatch in that band was zero.
ECON_UKWA,economics,ex-mine price by grade band; production cost,OFFICIAL_IBM_ANNUAL_RETURN_SCRUTINY,https://ibm.gov.in/writereaddata/files/1730980127672ca91f29bd1mcdr_Ukwa_199.067_hect..pdf,IBM Annual Return scrutiny; ex-mine prices + production cost.
ECON_TIRODI,economics,ex-mine price by grade band; production cost,OFFICIAL_IBM_ANNUAL_RETURN_SCRUTINY,https://ibm.gov.in/writereaddata/files/173875372767a346bf92303mcdr_Tirodi_254.593_hect..pdf,IBM Annual Return scrutiny; ex-mine prices + production cost.
ECON_CHIKLA,economics,ex-mine price by grade band; production cost,OFFICIAL_IBM_ANNUAL_RETURN_SCRUTINY,https://ibm.gov.in/writereaddata/files/17180860926667e9cccd878mcdr_rep_Chikla_28.6.2023_OPG.pdf,IBM Annual Return scrutiny; ex-mine prices + production cost.
ECON_GUMGAON,economics,ex-mine price by grade band; production cost,OFFICIAL_IBM_ANNUAL_RETURN_SCRUTINY,https://ibm.gov.in/writereaddata/files/05202022152703Gumgaon_35_MCDR_MKK.pdf,IBM Annual Return scrutiny. Report itself flags inconsistencies in some dispatch/grade entries; treat with caution.
ECON_KANDRI,economics,ex-mine price by grade band; production cost,OFFICIAL_IBM_ANNUAL_RETURN_SCRUTINY,https://ibm.gov.in/writereaddata/files/12032021131624Kandri_mcdr_21.pdf,"IBM MCDR FY2020-21 Annual Return values. The report flags a mismatch between monthly-return and annual-return ex-mine prices, so treat these annual-return figures with caution."
MAP_BALAGHAT,mapping,representative coordinate / published extent envelope,PUBLIC_TECHNICAL_MINE_LOCATION,,"Balaghat mine area reported near 21°50'N, 80°14'E; replace with official lease KML when available."
MAP_UKWA,mapping,representative coordinate / published extent envelope,PUBLIC_TECHNICAL_MONITORING_POINT,,Verified surface monitoring point inside Ukwa mine property; replace with lease KML for boundary rendering.
MAP_TIRODI,mapping,representative coordinate / published extent envelope,PUBLIC_REFERENCE_POINT_REPLACE,,Public reference location for Tirodi; replace with official DGPS/KML before production use.
MAP_GUMGAON,mapping,representative coordinate / published extent envelope,OFFICIAL_PUBLISHED_EXTENT_ENVELOPE,https://mpcb.gov.in/sites/default/files/public_hearing/exe_summary/2025-06/English%20Executive%20Summary_250616_171546.pdf,Rectangle made from published Gumgaon/Khodegaon project coordinate extent; not a legal lease polygon.
MAP_KANDRI,mapping,representative coordinate / published extent envelope,OFFICIAL_PUBLISHED_MINE_LOCATION,https://www.mpcb.gov.in/sites/default/files/public_hearing/exe_summary/2019-07/kandri.pdf,"Published Kandri mine location 21°24'45""N, 79°16'00""E."
MAP_CHIKLA,mapping,representative coordinate / published extent envelope,OFFICIAL_PUBLISHED_EXTENT_ENVELOPE,,Rectangle made from published Chikla project latitude/longitude limits; not the legal lease polygon.
